30.627977,-96.3344068,816,0.116140051
i,Å,815,0.115997723
43.653226,-79.3831843,812,0.115570737
41.8781136,-87.6297982,807,0.114859095
43.653226,-79.3831843,804,0.114432109
41.87194,12.56738,803,0.114289781
38.984652,-77.0947092,799,0.113720467
0.3136111,32.5811111,798,0.113578138
40.7143528,-74.0059731,796,0.113293481
52.519171,13.4060912,790,0.11243951
44.4325,26.1038889,789,0.112297182
e,r,788,0.112154853
37.7749295,-122.4194155,787,0.112012525
e,l,786,0.111870196
29.4241219,-98.4936282,784,0.111585539
43.0730517,-89.4012302,784,0.111585539
43.604652,1.444209,783,0.111443211
50.927054,11.5892372,783,0.111443211
35.86166,104.195397,782,0.111300882
36.778261,-119.4179324,782,0.111300882
47.6062095,-122.3320708,780,0.111016225
40.4406248,-79.9958864,780,0.111016225
47.6062095,-122.3320708,777,0.11058924
a,m,771,0.109735269
37.3393857,-121.8949555,771,0.109735269
r,u,770,0.109592941
Ã,£,767,0.109165955
51.053468,3.73038,766,0.109023627
60.1733244,24.9410248,765,0.108881298
35.7020691,139.7753269,764,0.10873897
59.9138688,10.7522454,763,0.108596641
-43.2491302,-65.3074036,762,0.108454313
37.8715926,-122.272747,759,0.108027327
42.3736158,-71.1097335,755,0.107458013
51.5112139,-0.1198244,755,0.107458013
37.7749295,-122.4194155,754,0.107315685
51.7520209,-1.2577263,752,0.107031028
41.8781136,-87.6297982,751,0.106888699
42.3584308,-71.0597732,751,0.106888699
36.204824,138.252924,747,0.106319385
42.36837,-83.3527097,746,0.106177057
43.16103,-77.6109219,744,0.1058924
35.86166,104.195397,743,0.105750071
56.4906712,-4.2026458,742,0.105607743
,,739,0.105180757
45.5234515,-122.6762071,736,0.104753772
a,d,735,0.104611443
49.261226,-123.1139268,733,0.104326786
38.5779555,-122.9888319,730,0.103899801
45.188529,5.724524,729,0.103757472
40.7143528,-74.0059731,728,0.103615144
41.5264977,-70.6730857,725,0.103188158
46.1983922,6.1422961,724,0.10304583
37.5407246,-77.4360481,723,0.102903501
0.3136111,32.5811111,713,0.101480216
40.7143528,-74.0059731,711,0.101195559
45.6834599,-111.050499,709,0.100910902
46.5199617,6.6335971,707,0.100626245
44.3148443,-85.6023643,702,0.099914603
50.503887,4.469936,699,0.099487617
50.0646501,19.9449799,693,0.098633646
36.1539816,-95.992775,692,0.098491318
t,o,691,0.098348989
22.2161111,-159.5433333,690,0.098206661
36.778261,-119.4179324,690,0.098206661
51.5148945,-0.1476532,690,0.098206661
59.9138688,10.7522454,683,0.097210362
29.4241219,-98.4936282,679,0.096641048
61.92411,25.748151,676,0.096214062
39.399872,-8.224454,675,0.096071734
u,n,675,0.096071734
47.218371,-1.553621,671,0.09550242
